Date,BNB_price,BNB_market_cap,BNB_total_volume,XRP_price,XRP_market_cap,XRP_Total_volume,LTC_price,LTC_market_cap,LTC_total_volume,ETH_price,ETH_market_cap,ETH_total_volume,BTC_price,BTC_market_cap,BTC_total_volume,NASDAQ_Comp_Price
2018-09-17,9.936509386,949061082.4,22681196.07,0.28120384,11194463090,241091501,56.82796365,3314347848,431205701.6,220.1415794,22455303413,2369163812,6506.248493,1.12374E+11,4715407407,7895.79
2018-09-18,9.366957078,894716967.9,22485356.72,0.271347906,10795790570,285533928,52.24179094,3047433607,483309754.8,196.5766097,20051344766,2973745225,6250.121727,1.0796E+11,4600931272,7956.11
2018-09-19,9.547476047,912577463.4,24273542.41,0.321950175,12819035863,674858731,54.21421559,3164886868,482645992.9,210.1506965,21444053204,2669510296,6347.069255,1.0963E+11,4472798160,7950.04
2018-09-20,9.609423515,917696686.2,25292364.06,0.326004614,12977940207,525069885,54.19474803,3163067327,460461037,209.1425268,21345953865,2532964971,6383.753841,1.10292E+11,5380977505,8028.23
2018-09-21,10.05375109,960259133.2,28762647.12,0.449615905,17898790632,1394001878,56.53424638,3300458354,541204625.4,224.3809777,22905841035,2506415803,6491.885242,1.12173E+11,5059042420,7986.96
2018-09-24,10.3096821,1488079901,22670196.3,0.572512681,22800880961,1064007679,61.5747062,3602263933,517589598.7,244.7847955,25008142946,2228170858,6711.029452,1.16002E+11,4322794079,7993.25
2018-09-25,10.04037692,1450237752,19289806.53,0.494431878,19718230715,1013020981,57.9712557,3388179639,517127127.8,228.3409115,23326983439,2153893196,6596.187313,1.14025E+11,4626497702,8007.47
2018-09-26,9.790952201,1411896131,17972383.46,0.528123262,21056753596,1723375409,57.76468074,3376586879,535049758.6,219.5043438,22430430094,4690848658,6441.311545,1.11361E+11,4580781824,7990.37
2018-09-27,9.744685924,1407777729,17926528.03,0.514998566,20581970432,1639250152,57.33768532,3355082130,404545784.4,214.9793803,21996083267,2266901693,6462.795635,1.11761E+11,3788299697,8041.97
2018-09-28,10.05583929,1452352373,28072584.64,0.542321115,21627253103,859572804,63.3099992,3702839748,677225362,229.2219593,23427304228,2324850663,6704.704246,1.15906E+11,4690261095,8046.35
2018-10-01,10.01289673,1446314353,22991399.08,0.58161275,23189480865,1308391504,61.1999726,3581759149,516221192.2,232.7813852,23810956055,1696510082,6626.037956,1.14618E+11,1908960743,8037.3
2018-10-02,9.960803049,1439680403,21256339.95,0.577382932,23123938643,1397493860,60.38502542,3539297139,520776756.8,231.1436846,23660128685,1380169412,6598.84126,1.14225E+11,1893760873,7999.55
2018-10-03,10.33975775,1493274838,36332455.63,0.516662498,20634734487,700808852,59.61992823,3489986459,489810107.2,225.7948538,23102075847,1289588249,6524.607698,1.12815E+11,2035903501,8025.09
2018-10-04,10.28305146,1483326566,37700291.35,0.528511844,21124163661,828787430,57.55550599,3370866268,552562394.7,220.4744603,22578266460,1484341832,6499.262379,1.12545E+11,2247969611,7879.51
2018-10-05,10.30682103,1488751252,33254200.57,0.527541728,21067595467,596664917,58.31776189,3416286690,446373730.3,222.1958478,22746296668,1299403541,6578.701809,1.13846E+11,2059404665,7788.45
2018-10-08,10.54987684,1523859036,33499771.82,0.48306769,19291506496,559788283,58.29006388,3417527992,520505167.9,225.6583486,23108155611,1219257804,6584.832153,1.13963E+11,1499424737,7735.95
2018-10-09,10.56125682,1525303120,32549460.73,0.49118236,19615382264,571441760,59.58971583,3494410646,461139351.4,229.524615,23515310564,1307100279,6653.089451,1.15168E+11,2081626437,7738.02
2018-10-10,10.42551907,1505859403,28417353.92,0.48025563,19168497765,434700458,58.84129805,3450552128,420076506.8,227.9689078,23360773269,1144035692,6633.74573,1.14838E+11,1741398467,7422.05
2018-10-11,10.37637448,1493947358,26768992.71,0.463130196,18518925201,419667836,58.02620459,3402531028,445664918.6,225.6620162,23136932206,1221609498,6582.455082,1.13987E+11,2070407902,7329.06
