Date,Average
2022-10-17,10633.14
2022-10-14,10537.75
2022-10-13,10393.27
2022-10-12,10433.37
2022-10-11,10480.41
2022-10-10,10559.485
2022-10-07,10750.225
2022-10-06,11140.855
2022-10-05,11060.54
2022-10-04,11117
2022-10-03,10726.675
2022-09-30,10727.685
2022-09-29,10761.345
2022-09-28,10938.92
2022-09-27,10891
2022-09-26,10906.525
2022-09-23,10845.505
2022-09-22,11114.205
2022-09-21,11416.28
2022-09-20,11432.355
2022-09-19,11437.98
2022-09-16,11388.675
2022-09-15,11628.92
2022-09-14,11674.795
2022-09-13,11781.2
2022-09-12,12219.735
2022-09-09,12045.64
2022-09-08,11778.63
2022-09-07,11687.075
2022-09-06,11575.465
2022-09-02,11759.71
2022-09-01,11672.445
2022-08-31,11920.8
2022-08-30,11945.935
2022-08-29,12053.145
2022-08-26,12398.68
2022-08-25,12556.62
2022-08-24,12427.245
2022-08-23,12421.44
2022-08-22,12446.14
2022-08-19,12766.94
2022-08-18,12938.075
2022-08-17,12958.26
2022-08-16,13080.165
2022-08-15,13069.92
2022-08-12,12934.205
2022-08-11,12893.165
2022-08-10,12780.025
2022-08-09,12510.885
2022-08-08,12726.45
2022-08-05,12623.105
2022-08-04,12668.485
2022-08-03,12562.425
2022-08-02,12381.91
2022-08-01,12385.85
2022-07-29,12303.695
2022-07-28,12032.88
2022-07-27,11900.055
2022-07-26,11622.34
2022-07-25,11781.32
2022-07-22,11930.105
2022-07-21,11936.655
2022-07-20,11821.66
2022-07-19,11585.095
2022-07-18,11475.935
2022-07-15,11375.01
2022-07-14,11142.95
2022-07-13,11178.47
2022-07-12,11345.125
2022-07-11,11444.58
2022-07-08,11584.735
2022-07-07,11528.675
2022-07-06,11346.735
2022-07-05,11117.67
2022-07-01,11027.63
2022-06-30,11005.465
2022-06-29,11149.26
2022-06-28,11406.765
2022-06-27,11582.28
2022-06-24,11475.505
2022-06-23,11153.275
2022-06-22,11077.415
2022-06-21,11069.52
2022-06-17,10761.715
2022-06-16,10698.105
2022-06-15,11055.325
2022-06-14,10829.925
2022-06-13,10923.31
2022-06-10,11448.71
2022-06-09,11933.52
2022-06-08,12144.24
2022-06-07,12041.735
2022-06-06,12124.8
2022-06-03,12067.03
2022-06-02,12110.785
2022-06-01,12069.685
2022-05-31,12066.29
2022-05-27,11994.24
2022-05-26,11601.565
2022-05-25,11361.875
2022-05-24,11222.045
2022-05-23,11428.315
2022-05-20,11293.95
2022-05-19,11438.065
2022-05-18,11603.955
2022-05-17,11871.355
2022-05-16,11716.06
2022-05-13,11683.485
2022-05-12,11328.045
2022-05-11,11591.845
2022-05-10,11755.61
2022-05-09,11782.775
2022-05-06,12174.285
2022-05-05,12485.54
2022-05-04,12676.015
2022-05-03,12553.41
2022-05-02,12372.475
2022-04-29,12588.785
2022-04-28,12718.19
2022-04-27,12567.345
2022-04-26,12704.39
2022-04-25,12867.02
2022-04-22,13020.31
2022-04-21,13425.76
